tensor,src_backend,dst_backend,bytes,duration_ms
ffn_out-18,CPU,OpenCL,16384,0.014583
ffn_inp-18,CPU,OpenCL,16384,0.006198
leaf_6,CPU,OpenCL,8,0.001667
leaf_10,CPU,OpenCL,16,0.000364
leaf_12,CPU,OpenCL,16,0.000782
attn_inp_kq_mask,CPU,OpenCL,1024,0.001198
leaf_370,CPU,OpenCL,4,0.001979
ffn_out-18,CPU,OpenCL,16384,0.007552
ffn_inp-18,CPU,OpenCL,16384,0.002188
leaf_6,CPU,OpenCL,8,0.000937
leaf_10,CPU,OpenCL,16,0.000521
leaf_12,CPU,OpenCL,16,0.000625
attn_inp_kq_mask,CPU,OpenCL,1024,0.000573
leaf_370,CPU,OpenCL,4,0.000938
ffn_out-18,CPU,OpenCL,73728,0.012135
ffn_inp-18,CPU,OpenCL,73728,0.026458
leaf_6,CPU,OpenCL,36,0.001042
leaf_10,CPU,OpenCL,72,0.000573
leaf_12,CPU,OpenCL,72,0.000625
attn_inp_kq_mask,CPU,OpenCL,4608,0.006146
leaf_370,CPU,OpenCL,4,0.001042
ffn_out-18,CPU,OpenCL,8192,0.010052
ffn_inp-18,CPU,OpenCL,8192,0.003855
leaf_6,CPU,OpenCL,4,0.001979
leaf_10,CPU,OpenCL,8,0.001458
leaf_12,CPU,OpenCL,8,0.001406
attn_inp_kq_mask,CPU,OpenCL,512,0.001511
leaf_370,CPU,OpenCL,4,0.002031
ffn_out-18,CPU,OpenCL,8192,0.006979
ffn_inp-18,CPU,OpenCL,8192,0.002760
leaf_6,CPU,OpenCL,4,0.001354
leaf_10,CPU,OpenCL,8,0.000938
leaf_12,CPU,OpenCL,8,0.000937
attn_inp_kq_mask,CPU,OpenCL,512,0.000989
leaf_370,CPU,OpenCL,4,0.001354
ffn_out-18,CPU,OpenCL,8192,0.005261
ffn_inp-18,CPU,OpenCL,8192,0.002188
leaf_6,CPU,OpenCL,4,0.001094
leaf_10,CPU,OpenCL,8,0.000781
leaf_12,CPU,OpenCL,8,0.000781
attn_inp_kq_mask,CPU,OpenCL,512,0.000834
leaf_370,CPU,OpenCL,4,0.001146
ffn_out-18,CPU,OpenCL,8192,0.004948
ffn_inp-18,CPU,OpenCL,8192,0.001510
leaf_6,CPU,OpenCL,4,0.000886
leaf_10,CPU,OpenCL,8,0.000573
leaf_12,CPU,OpenCL,8,0.000521
attn_inp_kq_mask,CPU,OpenCL,512,0.000572
leaf_370,CPU,OpenCL,4,0.000885
ffn_out-18,CPU,OpenCL,8192,0.003646
ffn_inp-18,CPU,OpenCL,8192,0.001562
leaf_6,CPU,OpenCL,4,0.000833
leaf_10,CPU,OpenCL,8,0.000573
leaf_12,CPU,OpenCL,8,0.000520
attn_inp_kq_mask,CPU,OpenCL,512,0.000573
leaf_370,CPU,OpenCL,4,0.000834
ffn_out-18,CPU,OpenCL,8192,0.005000
ffn_inp-18,CPU,OpenCL,8192,0.001927
leaf_6,CPU,OpenCL,4,0.001042
leaf_10,CPU,OpenCL,8,0.000625
leaf_12,CPU,OpenCL,8,0.000625
attn_inp_kq_mask,CPU,OpenCL,512,0.000625
leaf_370,CPU,OpenCL,4,0.000989
ffn_out-18,CPU,OpenCL,8192,0.003907
ffn_inp-18,CPU,OpenCL,8192,0.001666
leaf_6,CPU,OpenCL,4,0.000834
leaf_10,CPU,OpenCL,8,0.000521
leaf_12,CPU,OpenCL,8,0.000521
attn_inp_kq_mask,CPU,OpenCL,512,0.000573
leaf_370,CPU,OpenCL,4,0.000885
