op name, kernel name, exec duration (ms), global size, local size, output size
attn_norm-0,kernel_rms_norm_mul,0.009000,2048x1x1,1024x1x1,2048x2x1x1
Qcur-0,kernel_transpose_32_16,0.005800,512x2x0,1x16x0,2048x2x1x1
Qcur-0,kernel_gemm_noshuffle_q4_0_f32,0.317700,1x512x1,1x128x1,2048x2x1x1
Qcur_normed-0,kernel_rms_norm_mul,0.005000,2048x2x1,128x1x1,128x16x2x1
Qcur-0,kernel_rope_neox_f32,0.004300,1024x2x1,64x1x1,128x16x2x1
Vcur-0,kernel_transpose_32_16,0.004600,512x2x0,1x16x0,1024x2x1x1
Vcur-0,kernel_gemm_noshuffle_q4_0_f32,0.314500,1x256x1,1x128x1,1024x2x1x1
Kcur-0,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,1024x2x1x1
Kcur-0,kernel_gemm_noshuffle_q4_0_f32,0.331000,1x256x1,1x128x1,1024x2x1x1
Kcur_normed-0,kernel_rms_norm_mul,0.005800,1024x2x1,128x1x1,128x8x2x1
Kcur-0,kernel_rope_neox_f32,0.004100,512x2x1,64x1x1,128x8x2x1
cache_k_l0 (view),kernel_set_rows_f16_i64,0.003200,2048x1x1,1024x1x1,1024x40192x1x1
cache_v_l0 (view),kernel_set_rows_f16_i64,0.003300,2048x1x1,1024x1x1,1024x40192x1x1
node_25,flash_attn_blk_f16,0.007400,8x1x1,0x0x0,128x16x2x1
node_25,flash_attn_f32_f16,0.063500,128x16x0,128x1x0,128x16x2x1
node_27,kernel_transpose_32_16,0.005500,512x2x0,1x16x0,2048x2x1x1
node_27,kernel_gemm_noshuffle_q4_0_f32,0.341900,1x512x1,1x128x1,2048x2x1x1
ffn_inp-0,kernel_add,0.014400,128x1x1,64x1x1,2048x2x1x1
ffn_norm-0,kernel_rms_norm_mul,0.005500,2048x1x1,1024x1x1,2048x2x1x1
ffn_gate-0,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,6144x2x1x1
ffn_gate-0,kernel_gemm_noshuffle_q4_0_f32,0.345800,1x1536x1,1x128x1,6144x2x1x1
ffn_up-0,kernel_transpose_32_16,0.005000,512x2x0,1x16x0,6144x2x1x1
ffn_up-0,kernel_gemm_noshuffle_q4_0_f32,0.333700,1x1536x1,1x128x1,6144x2x1x1
ffn_swiglu-0,kernel_swiglu,0.007200,1024x1x1,512x1x1,6144x2x1x1
ffn_out-0,kernel_transpose_32_16,0.010200,1536x2x0,1x16x0,2048x2x1x1
ffn_out-0,kernel_gemm_noshuffle_q4_1_f32,1.184000,1x512x1,1x128x1,2048x2x1x1
l_out-0,kernel_add,0.014000,128x1x1,64x1x1,2048x2x1x1
attn_norm-1,kernel_rms_norm_mul,0.005800,2048x1x1,1024x1x1,2048x2x1x1
Qcur-1,kernel_transpose_32_16,0.005200,512x2x0,1x16x0,2048x2x1x1
Qcur-1,kernel_gemm_noshuffle_q4_0_f32,0.338700,1x512x1,1x128x1,2048x2x1x1
Qcur_normed-1,kernel_rms_norm_mul,0.004100,2048x2x1,128x1x1,128x16x2x1
Qcur-1,kernel_rope_neox_f32,0.003600,1024x2x1,64x1x1,128x16x2x1
Vcur-1,kernel_transpose_32_16,0.005400,512x2x0,1x16x0,1024x2x1x1
Vcur-1,kernel_gemm_noshuffle_q4_0_f32,0.328900,1x256x1,1x128x1,1024x2x1x1
Kcur-1,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,1024x2x1x1
Kcur-1,kernel_gemm_noshuffle_q4_0_f32,0.324600,1x256x1,1x128x1,1024x2x1x1
Kcur_normed-1,kernel_rms_norm_mul,0.004000,1024x2x1,128x1x1,128x8x2x1
Kcur-1,kernel_rope_neox_f32,0.002800,512x2x1,64x1x1,128x8x2x1
cache_k_l1 (view),kernel_set_rows_f16_i64,0.002900,2048x1x1,1024x1x1,1024x40192x1x1
cache_v_l1 (view),kernel_set_rows_f16_i64,0.002800,2048x1x1,1024x1x1,1024x40192x1x1
