op name, kernel name, exec duration (ms), t_since_start_ms, tensor_bytes, rss_kb, global size, local size, output size
embd,GET_ROWS,0.023385,-0.078281,16384,5693492,2048x2x1x1,0x0x0,2048x2x1x1
norm-0,RMS_NORM,16.561510,16.589375,16384,5693492,2048x2x1x1,0x0x0,2048x2x1x1
attn_norm-0,MUL,3.972812,20.570469,16384,5693492,2048x2x1x1,0x0x0,2048x2x1x1
Qcur-0,MUL_MAT,8.008490,28.584167,16384,5693492,2048x2x1x1,0x0x0,2048x2x1x1
Qcur-0,RESHAPE,0.000573,28.590573,16384,5693492,128x16x2x1,0x0x0,128x16x2x1
norm-0,RMS_NORM,3.982240,32.577188,16384,5693492,128x16x2x1,0x0x0,128x16x2x1
Qcur_normed-0,MUL,3.993021,36.575313,16384,5693492,128x16x2x1,0x0x0,128x16x2x1
Qcur-0,ROPE,4.005261,40.585157,16384,5693492,128x16x2x1,0x0x0,128x16x2x1
Vcur-0,MUL_MAT,7.992135,48.582552,8192,5693492,1024x2x1x1,0x0x0,1024x2x1x1
Vcur-0,RESHAPE,0.000365,48.587709,8192,5693492,128x8x2x1,0x0x0,128x8x2x1
Kcur-0,MUL_MAT,7.988386,56.580313,8192,5693492,1024x2x1x1,0x0x0,1024x2x1x1
Kcur-0,RESHAPE,0.000365,56.586042,8192,5693492,128x8x2x1,0x0x0,128x8x2x1
norm-0,RMS_NORM,3.984375,60.574427,8192,5693492,128x8x2x1,0x0x0,128x8x2x1
Kcur_normed-0,MUL,4.014531,64.593802,8192,5693492,128x8x2x1,0x0x0,128x8x2x1
Kcur-0,ROPE,3.980052,68.578698,8192,5693492,128x8x2x1,0x0x0,128x8x2x1
Kcur-0 (view),VIEW,0.000469,68.584011,8192,5693492,1024x2x1x1,0x0x0,1024x2x1x1
cache_k_l0 (view),SET_ROWS,0.049583,68.637917,83886080,5693668,1024x40960x1x1,0x0x0,1024x40960x1x1
Vcur-0 (view),VIEW,0.031094,68.674532,8192,5693668,1024x2x1x1,0x0x0,1024x2x1x1
cache_v_l0 (view),SET_ROWS,0.002500,68.681823,83886080,5693668,1024x40960x1x1,0x0x0,1024x40960x1x1
Qcur-0 (view),VIEW,0.019479,68.705677,16384,5693668,128x16x2x1,0x0x0,128x16x2x1
Qcur-0 (view) (permuted),PERMUTE,0.000365,68.710469,16384,5693668,128x2x16x1,0x0x0,128x2x16x1
